speed_mean,speed_max,speed_std,throttle_mean,throttle_max,throttle_full_pct,brake_mean,brake_applications,rpm_mean,rpm_max,gear_mean,gear_shifts,drs_active_pct,telemetry_points,lap_duration,lap_number,lap_time_seconds,compound,tyre_life,wear_total,wear_braking,wear_cornering,wear_acceleration,wear_thermal,temp_factor,stint_id,wear_cumulative,degradation_normalized,baseline_time,predicted_lap_time,lap_time_residual
149.11336440222334,265.0,61.67414832072414,44.45838623522608,100.0,25.925925925925924,0.23671497584541062,147,9244.753890254626,11840.0,3.5571658615136874,32,0.0,621,79.367,2.0,79.367,MEDIUM,2.0,67241.72402013723,498.63413008847834,47241.96109289658,0.7307649886954481,121.5468039251126,1.4048827430918098,1,67241.72402013723,1.0,78.129,82.03545000000001,-2.668450000000007
150.9108678468342,264.0,62.45921313096592,44.59883981503059,100.0,28.05872756933116,0.265905383360522,163,9255.412590940694,11754.0,3.6623164763458402,33,0.0,613,79.074,3.0,79.074,MEDIUM,3.0,68936.66841158272,561.1679568305269,47828.139518557364,0.7391716296755495,122.63125964120567,1.421003156004311,1,136178.39243171996,1.0,78.129,82.03545000000001,-2.9614500000000135
151.5014710805169,265.0,61.65964938127252,44.42211868956645,100.0,26.85810810810811,0.25506756756756754,151,9261.108743798015,11753.0,3.6908783783783785,38,0.0,592,78.129,4.0,78.129,MEDIUM,4.0,64482.138661371675,521.3385137777873,45014.6423639661,0.7302908970072414,122.16658434049705,1.4122585099490574,1,200660.53109309165,1.0,78.129,82.03545000000001,-3.9064500000000066
151.7825589336021,266.0,61.63243899280947,46.1472928413681,100.0,28.688524590163933,0.2360655737704918,144,9331.723606955196,11818.0,3.636065573770492,34,0.0,610,78.019,5.0,78.019,MEDIUM,5.0,66260.38543463289,497.1699923836913,46342.40194166905,0.7589898749510565,121.81923465440703,1.4109316803188179,1,266920.91652772453,1.0,78.129,82.03545000000001,-4.016450000000006
150.4826937163752,266.0,61.086440044751185,45.023210807208116,100.0,27.068965517241377,0.2689655172413793,156,9253.415877106545,11731.0,3.660344827586207,37,0.0,580,77.64,6.0,77.64,MEDIUM,6.0,62206.133166857435,535.7045521412183,43286.01662515538,0.7305939141987822,120.5347634013937,1.4156100454815486,1,329127.04969458195,1.0,78.129,82.03545000000001,-4.395450000000011
152.83538998122737,265.0,61.707335812890506,45.5610948501141,100.0,28.161888701517707,0.24620573355817876,146,9266.111325221866,11658.0,3.7554806070826308,40,0.0,593,77.633,7.0,77.633,MEDIUM,7.0,64711.7446600956,508.0744354910507,45160.45217646059,0.7508132943703566,122.65069830412624,1.4131692486391565,1,393838.79435467755,1.0,78.129,82.03545000000001,-4.402450000000016
153.48961225430847,265.0,61.894241032727,45.49387383856044,100.0,28.37837837837838,0.2516891891891892,149,9248.194496552427,11701.0,3.761824324324324,37,0.0,592,77.397,8.0,77.397,MEDIUM,8.0,65165.35547538723,521.0125377587775,45357.82134452492,0.7506258883040126,122.49635519646714,1.416574082136326,1,459004.1498300648,1.0,78.129,82.03545000000001,-4.638450000000006
154.35311038380186,263.0,61.12017930688109,47.27995214793507,100.0,30.94017094017094,0.2547008547008547,149,9363.537453453306,11799.0,3.7452991452991453,40,0.0,585,77.031,9.0,77.031,MEDIUM,9.0,63070.91542235826,524.0975577195507,43707.412926511955,0.7807741983970165,122.89974445974642,1.4219511627906036,1,522075.06525242305,1.0,78.129,82.03545000000001,-5.004450000000006
153.74998733963133,267.0,61.98500918327147,47.15541549460929,100.0,30.3236797274276,0.2453151618398637,144,9318.038586901333,11767.0,3.7512776831345827,39,0.0,587,77.084,10.0,77.084,MEDIUM,10.0,64788.78267182159,504.06946445549187,45106.73960690592,0.7762085296644298,122.41664024088142,1.4166436338758666,1,586863.8479242446,1.0,78.129,82.03545000000001,-4.951450000000008
154.0573933901197,266.0,62.36468164928181,47.142279580769284,100.0,30.574324324324326,0.23986486486486486,142,9355.14906321023,11822.0,3.738175675675676,39,0.0,592,76.858,11.0,76.858,MEDIUM,11.0,66067.29370667132,497.7973740983055,46049.94564384061,0.7752641599299515,122.30543141177822,1.4156016210947153,1,652931.1416309159,1.0,78.129,82.03545000000001,-5.177450000000007
152.7796039349515,267.0,62.57078380776152,45.38717101364376,100.0,30.240549828178693,0.2508591065292096,146,9305.637129647368,11702.0,3.7147766323024056,38,0.0,582,76.993,12.0,76.993,MEDIUM,12.0,65269.66200343601,508.1196452580543,45571.79876073723,0.7415103878107454,121.42960045763719,1.4126993537737103,1,718200.8036343519,1.0,78.129,82.03545000000001,-5.0424500000000165
153.46612767847336,266.0,60.4270593326941,46.4328959363951,100.0,27.533783783783782,0.2516891891891892,149,9386.493858936186,11857.0,3.7128378378378377,35,0.0,592,77.434,13.0,77.434,MEDIUM,13.0,62240.69433738476,520.9328205826486,43232.92527522769,0.7663682488822959,122.33496130654905,1.4185279735086362,1,780441.4979717367,1.0,78.129,82.03545000000001,-4.601450000000014
153.42829512823047,267.0,62.08546105530927,45.91542395199009,100.0,29.322033898305083,0.23559322033898306,139,9302.75958345326,11888.0,3.7084745762711866,37,0.0,590,77.065,14.0,77.065,MEDIUM,14.0,64967.11414106195,485.0882596038959,45484.332798513824,0.7540302067381627,121.9395156405708,1.4095060445647947,1,845408.6121127987,1.0,78.129,82.03545000000001,-4.970450000000014
