speed_mean,speed_max,speed_std,throttle_mean,throttle_max,throttle_full_pct,brake_mean,brake_applications,rpm_mean,rpm_max,gear_mean,gear_shifts,drs_active_pct,telemetry_points,lap_duration,lap_number,lap_time_seconds,compound,tyre_life,wear_total,stint_id,wear_cumulative,degradation_normalized,baseline_time,predicted_lap_time,scenario,time_saved
149.11336440222334,265.0,61.67414832072414,44.45838623522608,100.0,25.925925925925924,0.23671497584541062,147,9244.753890254626,11840.0,3.5571658615136874,32,0.0,621,79.367,2.0,79.367,MEDIUM,2.0,33620.86201006862,1,33620.86201006862,0.28552596337827485,78.129,79.24439289963907,50% Improved Tire,0.7969192674243288
150.9108678468342,264.0,62.45921313096592,44.59883981503059,100.0,28.05872756933116,0.265905383360522,163,9255.412590940694,11754.0,3.6623164763458402,33,0.0,613,79.074,3.0,79.074,MEDIUM,3.0,34468.33420579136,1,68089.19621585998,0.49383468934905916,78.129,80.05814052220764,50% Improved Tire,0.9764640117125509
151.5014710805169,265.0,61.65964938127252,44.42211868956645,100.0,26.85810810810811,0.25506756756756754,151,9261.108743798015,11753.0,3.6908783783783785,38,0.0,592,78.129,4.0,78.129,MEDIUM,4.0,32241.069330685837,1,100330.26554654582,0.6333335337538921,78.129,80.6030857829329,50% Improved Tire,0.9071642912177396
151.7825589336021,266.0,61.63243899280947,46.1472928413681,100.0,28.688524590163933,0.2360655737704918,144,9331.723606955196,11818.0,3.636065573770492,34,0.0,610,78.019,5.0,78.019,MEDIUM,5.0,33130.192717316444,1,133460.45826386227,0.736737746656862,78.129,81.0070291704277,50% Improved Tire,0.7576764445940825
150.4826937163752,266.0,61.086440044751185,45.023210807208116,100.0,27.068965517241377,0.2689655172413793,156,9253.415877106545,11731.0,3.660344827586207,37,0.0,580,77.64,6.0,77.64,MEDIUM,6.0,31103.066583428717,1,164563.52484729097,0.8071100092060457,78.129,81.28193489546295,50% Improved Tire,0.6081695829597891
152.83538998122737,265.0,61.707335812890506,45.5610948501141,100.0,28.161888701517707,0.24620573355817876,146,9266.111325221866,11658.0,3.7554806070826308,40,0.0,593,77.633,7.0,77.633,MEDIUM,7.0,32355.8723300478,1,196919.39717733877,0.8604306923090015,78.129,81.4902294779705,50% Improved Tire,0.46912447123092704
153.48961225430847,265.0,61.894241032727,45.49387383856044,100.0,28.37837837837838,0.2516891891891892,149,9248.194496552427,11701.0,3.761824324324324,37,0.0,592,77.397,8.0,77.397,MEDIUM,8.0,32582.677737693615,1,229502.0749150324,0.8992406974233019,78.129,81.64183882244926,50% Improved Tire,0.35395118981435303
154.35311038380186,263.0,61.12017930688109,47.27995214793507,100.0,30.94017094017094,0.2547008547008547,149,9363.537453453306,11799.0,3.7452991452991453,40,0.0,585,77.031,9.0,77.031,MEDIUM,9.0,31535.45771117913,1,261037.53262621153,0.9264930505036395,78.129,81.74829877713994,50% Improved Tire,0.26604361242348773
153.74998733963133,267.0,61.98500918327147,47.15541549460929,100.0,30.3236797274276,0.2453151618398637,144,9318.038586901333,11767.0,3.7512776831345827,39,0.0,587,77.084,10.0,77.084,MEDIUM,10.0,32394.391335910794,1,293431.9239621223,0.9468330990908981,78.129,81.82775615994365,50% Improved Tire,0.19665140224265087
154.0573933901197,266.0,62.36468164928181,47.142279580769284,100.0,30.574324324324326,0.23986486486486486,142,9355.14906321023,11822.0,3.738175675675676,39,0.0,592,76.858,11.0,76.858,MEDIUM,11.0,33033.64685333566,1,326465.57081545796,0.9617899117589183,78.129,81.88618420079062,50% Improved Tire,0.14356233985022016
152.7796039349515,267.0,62.57078380776152,45.38717101364376,100.0,30.240549828178693,0.2508591065292096,146,9305.637129647368,11702.0,3.7147766323024056,38,0.0,582,76.993,12.0,76.993,MEDIUM,12.0,32634.831001718005,1,359100.40181717597,0.9724293648963773,78.129,81.92774669249947,50% Improved Tire,0.10473385890999509
153.46612767847336,266.0,60.4270593326941,46.4328959363951,100.0,27.533783783783782,0.2516891891891892,149,9386.493858936186,11857.0,3.7128378378378377,35,0.0,592,77.434,13.0,77.434,MEDIUM,13.0,31120.34716869238,1,390220.74898586835,0.97980272308517,78.129,81.95655034759606,50% Improved Tire,0.07730609427585478
153.42829512823047,267.0,62.08546105530927,45.91542395199009,100.0,29.322033898305083,0.23559322033898306,139,9302.75958345326,11888.0,3.7084745762711866,37,0.0,590,77.065,14.0,77.065,MEDIUM,14.0,32483.557070530976,1,422704.30605639936,0.9854045152319839,78.129,81.97843346852798,50% Improved Tire,0.05618434755540136
153.05814381744452,268.0,62.01682435376165,46.288258671097985,100.0,29.66101694915254,0.24067796610169492,142,9300.515892453346,11780.0,3.7355932203389832,39,0.0,590,77.079,15.0,77.079,MEDIUM,15.0,32476.1813691821,1,455180.48742558144,0.9894518508899364,78.129,81.99424418290899,50% Improved Tire,0.04077117198814051
154.36869222204342,267.0,63.24870922166375,46.31708458654706,100.0,29.5,0.25,150,9397.9082871025,11768.0,3.7,39,0.0,600,76.824,16.0,76.824,MEDIUM,16.0,34562.81395069113,1,489743.3013762726,0.9925342770974858,78.129,82.00628552676747,50% Improved Tire,0.02894673935678327
153.47646256426964,268.0,63.49288056377315,47.77640320235401,100.0,29.743589743589745,0.24444444444444444,143,9313.875617109832,11769.0,3.747008547008547,41,0.0,585,76.86,17.0,76.86,MEDIUM,17.0,33850.98072678155,1,523594.2821030541,0.9946781953915351,78.129,82.01466063638728,50% Improved Tire,0.020678726681637727
